full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude,planning_area,subzone
259A COMPASSVALE RD,4818.181818181818,5076.451515151515,public,1.39390590594045,103.896732147073,SENGKANG,SENGKANG TOWN CENTRE
259A PUNGGOL FIELD,5376.344086021505,5513.968841297125,public,1.40382339950391,103.895547769394,PUNGGOL,MATILDA
259B COMPASSVALE RD,5282.35294117647,5385.511982570806,public,1.39387119006256,103.897505975683,SENGKANG,SENGKANG TOWN CENTRE
259B PUNGGOL FIELD,5537.634408602151,5686.195646472594,public,1.40387830838582,103.895238808655,PUNGGOL,MATILDA
259C COMPASSVALE RD,4750.0,5129.5076767676765,public,1.3933884601797,103.898081358537,SENGKANG,SENGKANG TOWN CENTRE
259C PUNGGOL FIELD,5292.0353982300885,5488.45422478598,public,1.40451590916739,103.895664857315,PUNGGOL,MATILDA
25A JLN MEMBINA,8444.444444444445,8733.901731601733,public,1.28346637277709,103.826183412946,BUKIT MERAH,TIONG BAHRU STATION
25A ST. GEORGE'S LANE,11661.764705882351,11567.82403317058,public,1.32183662062012,103.861839161245,KALLANG,BENDEMEER
25B JLN MEMBINA,8472.222222222223,8590.431500187055,public,1.28362146974577,103.825391035279,BUKIT MERAH,TIONG BAHRU STATION
26 BENDEMEER RD,5213.392838961479,5458.42583210104,public,1.3183075369852,103.86292186863,KALLANG,BENDEMEER
26 CHAI CHEE RD,5432.692307692308,5482.391010400796,public,1.32331161222379,103.923620464562,BEDOK,KEMBANGAN
26 DOVER CRES,5853.658536585366,5958.590673170732,public,1.30591387643498,103.781566663057,QUEENSTOWN,DOVER
26 GHIM MOH LINK,8529.531914893618,8584.898178353878,public,1.30838826045914,103.785551268112,QUEENSTOWN,GHIM MOH
26 JLN BERSEH,6286.712643678161,6238.732348111659,public,1.30616360895626,103.857776695846,ROCHOR,SUNGEI ROAD
26 JLN KLINIK,5250.0,5224.157575757576,public,1.2881713453856,103.828454024092,BUKIT MERAH,BUKIT HO SWEE
26 MARSILING DR,3021.978021978022,3460.5373922144117,public,1.44196307936869,103.773221768066,WOODLANDS,NORTH COAST
26 NEW UPP CHANGI RD,3977.272727272727,3977.272727272727,public,1.3233383625591,103.934207271148,BEDOK,BEDOK SOUTH
26 TECK WHYE LANE,3716.216216216216,3879.2815419332273,public,1.37762112372223,103.755740001262,CHOA CHU KANG,TECK WHYE
26 TELOK BLANGAH CRES,5508.511096746391,5473.5357123097065,public,1.27669324661085,103.818866609662,BUKIT MERAH,TELOK BLANGAH WAY
26 TIONG BAHRU RD,8259.348484848484,8259.348484848484,public,1.28567055710851,103.830832052892,BUKIT MERAH,TIONG BAHRU
26 TOA PAYOH EAST,3955.223880597015,4037.570766855378,public,1.33291837032644,103.856763112528,TOA PAYOH,KIM KEAT
260 BISHAN ST 22,5629.62962962963,5649.359274884043,public,1.35960292271157,103.84223893939,BISHAN,MARYMOUNT
260 BOON LAY DR,4039.803510799682,4046.838345133196,public,1.34509544334295,103.708033296449,JURONG WEST,BOON LAY PLACE
260 BT BATOK EAST AVE 4,3904.109589041096,4100.735149116491,public,1.35091259231107,103.759021061327,BUKIT BATOK,BUKIT BATOK EAST
260 JURONG EAST ST 24,3884.297520661157,4060.373566509163,public,1.34372175616439,103.740222868909,JURONG EAST,YUHUA EAST
260 TAMPINES ST 21,4390.429958391123,4471.773226408602,public,1.35464005993806,103.950100751181,TAMPINES,TAMPINES EAST
260 YISHUN ST 22,4285.714285714285,4340.82094376212,public,1.43547754128002,103.839276532996,YISHUN,NORTHLAND
260A ANG MO KIO ST 21,9383.356708742402,9446.225331961838,public,1.36928934819166,103.834131942869,ANG MO KIO,SHANGRI-LA
