project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
BAGNALL COURT,815 UPPER EAST COAST ROAD BAGNALL HAUS SINGAPORE 466610,18117.24029545812,18117.24029545812,private,103.95492261889515,1.3201018230532593,BEDOK,BEDOK SOUTH
MING PARK,75 JALAN BINCHANG MING PARK SINGAPORE 578557,17993.290637389448,17993.290637389448,private,103.8467496088548,1.3540651942068826,BISHAN,MARYMOUNT
RIVERVALE CREST,9 RIVERVALE CRESCENT RIVERVALE CREST SINGAPORE 545086,8666.666666666666,8900.783406425826,private,103.90425487590664,1.3917518148981507,SENGKANG,RIVERVALE
HENLEY GARDENS,28 JALAN ARIF HENLEY GARDENS SINGAPORE 548841,12200.0,12002.37631236737,private,103.88405872645416,1.368048019314107,HOUGANG,KOVAN
PARK COURT,9 LORONG 101 CHANGI PARK COURT SINGAPORE 426641,13369.565217391304,13369.565217391304,private,103.9001941838153,1.315596134106528,GEYLANG,GEYLANG EAST
LANDED HOUSING DEVELOPMENT in TOH TUCK CLOSE,TOH TUCK CLOSE,18553.371122431898,19515.95378886768,private,103.7665079332984,1.3387610008535409,BUKIT TIMAH,ANAK BUKIT
ONE @ PULASAN,1 PULASAN ROAD ONE @ PULASAN SINGAPORE 424366,13690.47619047619,13707.432602156983,private,103.90608871910644,1.3124296021506916,MARINE PARADE,KATONG
ONE SURIN,1B SURIN AVENUE ONE SURIN SINGAPORE 533939,8465.90909090909,8527.868754139934,private,103.87961898692691,1.3543624652133657,HOUGANG,LORONG AH SOO
CLEMENTI PARK,120 SUNSET WAY CLEMENTI PARK SINGAPORE 597152,14567.901234567902,15141.822624492392,private,103.76935103060488,1.3283885825338564,CLEMENTI,SUNSET WAY
BELLA CASITA,7 IPOH LANE BELLA CASITA SINGAPORE 438610,16250.0,16587.263655855935,private,103.89478477046436,1.3118422147709383,GEYLANG,GEYLANG EAST
EAST GROVE,424C EAST COAST ROAD EAST GROVE SINGAPORE 429011,12886.59793814433,13056.993752229711,private,103.91307054301566,1.308721327899634,BEDOK,FRANKEL
WATERFRONT ISLE,738 BEDOK RESERVOIR ROAD WATERFRONT ISLE SINGAPORE 479265,13765.909090909092,14203.440012589004,private,103.92782091968188,1.3375203787385594,BEDOK,BEDOK RESERVOIR
LANDED HOUSING DEVELOPMENT in STILL LANE,25 STILL LANE SINGAPORE 424051,20240.8682525014,21108.10855027672,private,103.90922342348242,1.310949981917028,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in JALAN RINDU,10 JALAN RINDU RINDU TERRACE SINGAPORE 537496,14623.52209085252,15857.922234602323,private,103.87681427386669,1.3451856136307312,SERANGOON,UPPER PAYA LEBAR
CHANGI HEIGHTS,61 JALAN SINAR BINTANG CHANGI HEIGHTS SINGAPORE 507031,17293.90681003584,16338.660416246948,private,103.97298765328628,1.3631206766500188,PASIR RIS,LOYANG EAST
LANDED HOUSING DEVELOPMENT in JALAN KORBAN,15 JALAN KORBAN SINGAPORE 538111,18851.924331376384,18851.924331376384,private,103.88340718226507,1.3446278324965475,HOUGANG,TAI SENG
BURGHLEY DRIVE,BURGHLEY DRIVE,20696.34230503796,20924.29229334064,private,103.86481390958711,1.35690320526081,SERANGOON,SERANGOON GARDEN
SIGLAP V,2 FIRST STREET SIGLAP V SINGAPORE 458278,15254.096441947566,15192.036126837314,private,103.92378858092006,1.3128470640665235,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in LORONG PAYA LEBAR,17 LORONG PAYA LEBAR SINGAPORE 536315,18457.69137694604,19926.81967718231,private,103.88462922884204,1.3401809494271395,TOA PAYOH,JOO SENG
MARGATE POINT,2 MARGATE ROAD MARGATE POINT SINGAPORE 438042,19579.831932773108,19579.831932773108,private,103.8887411991084,1.299837202664469,MARINE PARADE,MOUNTBATTEN
CHATEAU LA SALLE,38 LA SALLE STREET CHATEAU LA SALLE SINGAPORE 454970,8425.720620842572,8456.97009121721,private,103.92016352805275,1.3196641825869693,BEDOK,FRANKEL
D'MANOR,241 TANAH MERAH KECHIL AVENUE D' MANOR SINGAPORE 465748,7865.612648221344,8204.582361471012,private,103.9460897402812,1.329777248677503,BEDOK,BEDOK NORTH
JC COURT,150 JOO CHIAT PLACE JC COURT SINGAPORE 427878,11725.181598062954,11725.181598062954,private,103.90435931765477,1.3137426937563512,GEYLANG,GEYLANG EAST
OVADA 8,127 KOON SENG ROAD OVADA 8 SINGAPORE 427071,11219.512195121952,11219.512195121952,private,103.90603449001782,1.3132239972366069,GEYLANG,GEYLANG EAST
TANAMERA CREST,10 PARI DEDAP WALK TANAMERA CREST SINGAPORE 486062,10000.0,10170.114176467763,private,103.94242416252388,1.3328959543851355,BEDOK,BEDOK NORTH
THE SUNNIFLORA,48 LORONG G TELOK KURAU THE SUNNIFLORA SINGAPORE 426231,12450.87149692413,11849.66955562288,private,103.90976648457072,1.316762822153195,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in SIGLAP ROAD,SIGLAP ROAD 10KM,17750.74478649454,18648.415738743344,private,103.92134521105292,1.3178510015075502,BEDOK,FRANKEL
ISLAND GARDENS,ISLAND GARDENS WALK,16104.680422747862,17588.149072154763,private,103.82968941241285,1.3619088769554637,BISHAN,UPPER THOMSON
LANDED HOUSING DEVELOPMENT in JALAN SEDAP,JALAN SEDAP,14249.525015832804,14249.525015832804,private,103.89565022322836,1.2998987552399637,MARINE PARADE,MOUNTBATTEN
