project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
OCEAN FRONT SUITES,65 LORONG MELAYU M SUITES SINGAPORE 416952,15626.315789473685,15306.649609354514,private,103.96075240894454,1.37932875737245
THE GRANDIFLORA,121 LORONG L TELOK KURAU THE GRANDIFLORA SINGAPORE 425554,10937.5,10937.5,private,103.91378484101804,1.312715307244338
EAST MEADOWS,34 TANAH MERAH KECHIL ROAD EAST MEADOWS SINGAPORE 465560,11441.867561794325,11661.365986602641,private,103.9446810515058,1.3286349483860216
VALVISTA,22 MAR THOMA ROAD THE CALLISTA SINGAPORE 328702,13633.669235328987,14175.069521989448,private,103.86775600759411,1.361755811307382
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,15092.290988056462,15092.290988056462,private,103.90167883115217,1.3089835992562304
LANDED HOUSING DEVELOPMENT in UPPER EAST COAST ROAD,777 UPPER EAST COAST ROAD EAST COAST TERRACE SINGAPORE 466628,15304.347826086956,15326.10071715195,private,103.95440475345822,1.3198211912646385
NOTTINGHILL SUITES,29A TOH TUCK ROAD NOTTINGHILL SUITES SINGAPORE 596195,17281.08108108108,16972.355843691777,private,103.76918299644964,1.3388539089655984
OASIS GARDEN,53 JALAN BUNGA RAMPAI OASIS GARDEN SINGAPORE 538421,14834.123222748814,15422.753326873368,private,103.88302640874568,1.3387825629331174
REGINA HILL,33 JALAN LAYANG LAYANG REGINA HILL SINGAPORE 598499,19413.599187501466,19413.599187501466,private,103.76617337429384,1.3450586813190581
POH HUAT GARDENS,70 POH HUAT CRESCENT POH HUAT GARDENS SINGAPORE 546902,14637.166636404803,14766.53291793516,private,103.88048206845161,1.3678921689851335
GIDEON'S LODGE,49 JOO CHIAT LANE GIDEON'S LODGE SINGAPORE 428106,11762.295081967213,11762.295081967213,private,103.90355601606811,1.312898122902985
LANDED HOUSING DEVELOPMENT in LIM TECK BOO ROAD,17 LIM TECK BOO ROAD SINGAPORE 536999,10970.066518847007,10970.066518847007,private,103.88457193395354,1.3433701688741073
VILLA MARTIA,11 MARTIA ROAD VILLA MARTIA SINGAPORE 424808,14833.333333333334,15780.469332739876,private,103.9113984642527,1.3066666543761287
THOMSON PARK,7 JALAN BELIBAS THOMSON PARK SINGAPORE 578659,20830.221747891737,21320.5887740776,private,103.8339121064476,1.356028300004098
CASA RIVIERA,19B LIM TUA TOW ROAD CASA RIVIERA SINGAPORE 547802,12190.47619047619,12069.626995258132,private,103.87539240874375,1.3546911714797847
TIVOLI GARDENS,177 TAI KENG GARDENS TIVOLI GARDENS SINGAPORE 535481,11616.666666666668,12335.615569083391,private,103.88524690425194,1.3455846784404002
JANSEN MANSIONS,28 JANSEN ROAD JANSEN 28 SINGAPORE 548431,13603.988603988604,13603.988603988604,private,103.87649383303399,1.3598330526747158
OASIS @ ELIAS,72 ELIAS ROAD OASIS @ ELIAS SINGAPORE 519944,9920.509747019116,10283.255423064307,private,103.94160227719897,1.377447834407619
GRACE GARDEN,29 JALAN BAIDURI GRACE GARDEN SINGAPORE 428400,19253.698711980614,19253.698711980614,private,103.91262640301358,1.3117317670237993
DUKU COURT,71 DUKU ROAD DUKU COURT SINGAPORE 429233,11717.64705882353,11717.64705882353,private,103.90602914803823,1.3106457275700565
LANDED HOUSING DEVELOPMENT in ONAN ROAD,ONAN ROAD GREEN SPACE,21844.12733260154,22334.456165261276,private,103.90068727856779,1.3105509595191376
77 @ EAST COAST,77 UPPER EAST COAST ROAD 77 @ EAST COAST SINGAPORE 455218,18812.5,19012.68226375601,private,103.92739432141718,1.313363564913382
SOUTHAVEN II,39 HINDHEDE WALK SOUTHAVEN II SINGAPORE 587971,13448.979591836734,14123.106163352848,private,103.77366017979561,1.3465180778601014
LANDED HOUSING DEVELOPMENT in TAMAN BEDOK,13 TAMAN BEDOK BEDOK PESARI SINGAPORE 487063,15346.287992027903,15346.287992027903,private,103.95341552225594,1.3246871760916323
SANDALWOOD,162 TEMBELING ROAD SANDALWOOD SINGAPORE 423671,14102.956167176351,14316.263687264884,private,103.90317862131721,1.309858188686818
DUNMAN REGENCY,485 DUNMAN ROAD DUNMAN REGENCY SINGAPORE 439190,17012.345679012345,16952.11878545212,private,103.89334827690334,1.3096077275535103
NANYANG PARK,15 CHUAN HOE AVENUE NANYANG PARK SINGAPORE 549822,13599.77796280877,14542.686711272496,private,103.87599139025832,1.3645935246371457
PALM GROVE TERRACE,3 PALM GROVE AVENUE PALM GROVE TERRACE SINGAPORE 547338,22318.88481888482,20698.020493460852,private,103.8791743756493,1.360809984122838
LANDED HOUSING DEVELOPMENT in BOUNDARY ROAD,62 BOUNDARY ROAD SINGAPORE 549980,10847.914069718194,12117.876534184168,private,103.87543139070277,1.3539549484790536
MARINE VILLE,161 MARINE PARADE MARINE VILLE SINGAPORE 449527,17254.372813593203,17254.372813593203,private,103.90676934861747,1.3042803751728504
AURA 83,83 DUKU ROAD AURA 83 SINGAPORE 429247,15809.40463645943,15631.551099463144,private,103.90626673399892,1.3109676469774498
LANDED HOUSING DEVELOPMENT in SANDILANDS ROAD,28 SANDILANDS ROAD SINGAPORE 546089,14044.59377468594,15956.054320249268,private,103.87855108798938,1.3633348393369595
THE CHERRYWOOD,5 THE INGLEWOOD THE INGLEWOOD SINGAPORE 575034,13669.354838709678,13669.354838709678,private,103.91421239539861,1.312121076061281
D'HIRO@HILLSIDE,61 HILLSIDE DRIVE D'HIRO@HILLSIDE SINGAPORE 549010,12307.692307692309,12572.42500789475,private,103.87477128839816,1.3600160320218273
COASTARINA,510 EAST COAST ROAD COASTARINA SINGAPORE 459135,19240.258852258852,18935.74189749994,private,103.91834862142014,1.3095590595745663
CASA PASIR RIS,201 JALAN LOYANG BESAR CASA PASIR RIS SINGAPORE 509506,10840.70796460177,10645.401723577423,private,103.96368774531622,1.3793919518401545
LANDED HOUSING DEVELOPMENT in UPPER THOMSON ROAD,UPPER THOMSON MRT STATION EXIT 2,16962.443252166733,16714.332051761423,private,103.83239270782722,1.3551497498503013
BRIGHT GARDEN,9 EVERGREEN GARDENS EVERGREEN GARDEN SINGAPORE 468885,20310.482001220254,20310.482001220254,private,103.90889269759815,1.311527939566663
WATER PLACE,173 TANJONG RHU ROAD WATER PLACE SINGAPORE 436932,16259.109838625716,16105.105908910971,private,103.87278395843227,1.2967699689868992
GOODLUCK GARDEN,CHINESE GARDEN MRT STATION EXIT C,10114.408887415022,10114.408887415022,private,103.76963353521096,1.3409945764808917
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,15143.853530950306,15143.853530950306,private,103.90891304675627,1.3129633377565715
LANDED HOUSING DEVELOPMENT in LORONG GAMBIR,75 LORONG GAMBIR GAMBIR TERRACE SINGAPORE 536623,15616.312106487345,15477.905805408926,private,103.87502275805285,1.345818057406322
CLASSICAL TERRACE,17A JALAN RINDU CLASSICAL TERRACE SINGAPORE 537506,14485.514485514486,13697.007325524508,private,103.87627410794265,1.3448510598886139
CHUAN GARDEN,20 CHUAN GARDEN CHUAN GARDEN SINGAPORE 558538,10279.955207166855,11449.830882903849,private,103.86867851348109,1.3631054894166397
PENG'S COURT,226 TEMBELING ROAD PENG'S COURT SINGAPORE 423714,11630.434782608696,11630.434782608696,private,103.90423807991138,1.3082166914378102
LANDED HOUSING DEVELOPMENT in TANAH MERAH BESAR LANE,118R TANAH MERAH BESAR LANE SINGAPORE 498935,12139.695031972455,12612.132678281292,private,103.97542066518463,1.359153528385357
THE DOMAIN,914 EAST COAST ROAD THE DOMAIN SINGAPORE 459108,11764.70588235294,11764.70588235294,private,103.92443714925247,1.3120629284025196
JADESCAPE,16 SHUNFU ROAD JADESCAPE SINGAPORE 575749,18978.571428571428,19510.874287540908,private,103.8382982223072,1.3518148538609245
ESPIRA RESIDENCE,80 LORONG K TELOK KURAU ESPIRA RESIDENCE SINGAPORE 425710,12065.133109330576,11761.186509180996,private,103.91233562532791,1.312894797254079
THE LILIUM,33 HOW SUN ROAD THE LILIUM SINGAPORE 538501,22749.800637958535,22516.057767614828,private,103.88100617007167,1.3455376872394156
MEYER PARK,45 MEYER ROAD KATONG PARK MRT STATION (TE24) SINGAPORE 437870,15267.857142857143,19659.81908852598,private,103.89164615525357,1.2962567351572145
SIGLAP GARDEN,21 SIGLAP GARDENS SIGLAP GARDEN SINGAPORE 456122,17354.124748490944,18122.186678056474,private,103.92519880410573,1.3117862542760728
LANDED HOUSING DEVELOPMENT in HAIGSVILLE DRIVE,39 HAIGSVILLE DRIVE HAIGSVILLE SINGAPORE 438721,11033.369214208826,11033.369214208826,private,103.89860835655607,1.3105428353861983
AMBER RESIDENCES,50 AMBER ROAD AMBER RESIDENCES SINGAPORE 439888,19015.410176960682,19221.424287659007,private,103.90082608797513,1.301256235401773
LANDED HOUSING DEVELOPMENT in SUNBIRD ROAD,105 SUNBIRD ROAD SUNBIRD PARK SINGAPORE 487181,10285.335102853353,10285.335102853353,private,103.9573665536396,1.338271327403652
LEITH GROVE,6 LEITH PARK LEITH GROVE SINGAPORE 547933,11280.618116061154,11550.396777328822,private,103.87385343337465,1.362309529685218
SUMMERLEA GREEN,3 KISMIS ROAD SUMMERLEA GREEN SINGAPORE 596281,14745.785036880927,13915.382339437147,private,103.77095339737255,1.3355307187787746
FOH PIN GARDEN,17D CHARLTON LANE FOH PIN GARDEN SINGAPORE 539636,13163.213744315311,13163.213744315311,private,103.88162309993933,1.3558950169364807
JK BUILDING,64A JALAN JURONG KECHIL JK BUILDING SINGAPORE 598585,12727.272727272728,13371.794871794873,private,103.77395785424834,1.3405659185411332
