full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
854 TAMPINES ST 82,5168.918918918918,5065.19150157439,public,1.35302683671628,103.936584448142
854 WOODLANDS ST 83,3928.5714285714284,4164.38934012847,public,1.43979292303567,103.793067357987
854 YISHUN RING RD,3975.409836065574,4217.899792492062,public,1.4165969187208,103.837402886205
855 JURONG WEST ST 81,3882.5992555831263,3864.9704200205774,public,1.34691949430163,103.696188240519
855 TAMPINES ST 83,4523.809523809524,4795.692677499894,public,1.35358948409179,103.935306174109
855 WOODLANDS ST 83,3809.523809523809,4132.294444444445,public,1.44015417263679,103.793611828946
855 YISHUN RING RD,4754.098360655737,4630.644884747124,public,1.41703055774681,103.836824287985
856 JURONG WEST ST 81,3476.1191677175284,3729.103314998196,public,1.34714468668385,103.69665480434
856 TAMPINES ST 82,5270.0327868852455,5211.02140143267,public,1.35344494716974,103.936557739201
856 WOODLANDS ST 83,4500.748727163822,4279.664570230608,public,1.44049882801819,103.793287093335
856B TAMPINES ST 82,5710.3448275862065,5823.3590261396475,public,1.35311031731217,103.937699927291
856C TAMPINES ST 82,5677.852348993289,5623.546534000706,public,1.35250510171565,103.937587507316
856D TAMPINES ST 82,5736.647458501763,6004.695570926205,public,1.35209728534467,103.938739396041
856E TAMPINES ST 82,6104.620371638588,5952.252632240949,public,1.35291726067425,103.938794717769
856F TAMPINES ST 82,5804.195804195804,6055.012381812269,public,1.35291277412563,103.938357435494
857 JURONG WEST ST 81,3676.470588235294,3753.676470588235,public,1.34802602908547,103.696737818833
857 TAMPINES ST 83,5324.675324675325,5477.647712702979,public,1.35430306838396,103.93590010205
857 WOODLANDS ST 83,3452.3809523809523,3880.523513151752,public,1.4402617089292,103.794013512486
857A TAMPINES ST 83,3842.2131147540986,3842.2131147540986,public,1.35429127781411,103.935134454336
857B TAMPINES ST 83,4329.918032786885,4539.959016393443,public,1.35429345502082,103.936665829624
858 JURONG WEST ST 81,3412.6984126984125,3646.4280504627754,public,1.34828949021977,103.696205676966
858 TAMPINES AVE 5,5489.726027397261,5801.556097034081,public,1.35429332820868,103.937594958874
858 WOODLANDS ST 83,3967.968809724027,4082.5662825116037,public,1.44029745152539,103.794455269432
858 YISHUN AVE 4,4019.230769230769,4183.465458283908,public,1.41767034348633,103.838515102268
858A TAMPINES AVE 5,4303.2786885245905,4551.71018012548,public,1.35429294337373,103.937118826238
858B TAMPINES AVE 5,3962.962962962963,3962.962962962963,public,1.35429292697959,103.938650571771
859 JURONG WEST ST 81,4794.520547945205,4584.47885565703,public,1.34903742747576,103.696165156914
859 TAMPINES AVE 5,4708.951852329934,4929.229650399941,public,1.35468634927389,103.938051526018
859 WOODLANDS ST 83,3906.3690627381256,3967.4623835352686,public,1.43988175600406,103.793964789504
859 YISHUN AVE 4,3852.4590163934427,3927.7875125492815,public,1.41797331672967,103.839259853223
